ID;CHEQUEESPECIAL;HISTORICO_CREDITO;RESIDENCIA;Pagador
68;0<=X<200;existente e pago;própria;bom
69;sem cheque;existente e pago;gratuitamente;ruim
70;sem cheque;existente e pago;própria;bom
71;sem cheque;existente e pago;própria;bom
72;sem cheque;crítica / outros de crédito existente;alugada;bom
73;<0;crítica / outros de crédito existente;gratuitamente;bom
74;0<=X<200;crítica / outros de crédito existente;própria;bom
75;<0;existente e pago;própria;ruim
76;<0;crítica / outros de crédito existente;gratuitamente;bom
77;<0;existente e pago;própria;ruim
78;0<=X<200;atrasos anteriores;própria;bom
79;sem cheque;sem créditos/todos pagos;própria;bom
80;0<=X<200;existente e pago;própria;bom
81;sem cheque;existente e pago;própria;ruim
82;sem cheque;existente e pago;própria;bom
83;sem cheque;existente e pago;alugada;bom
84;<0;existente e pago;própria;bom
85;<0;existente e pago;própria;bom
86;sem cheque;crítica / outros de crédito existente;própria;bom
87;0<=X<200;crítica / outros de crédito existente;própria;bom
88;0<=X<200;existente e pago;gratuitamente;ruim
89;<0;existente e pago;própria;bom
90;<0;sem créditos/todos pagos;própria;ruim
91;sem cheque;crítica / outros de crédito existente;própria;bom
92;<0;crítica / outros de crédito existente;própria;bom
93;sem cheque;crítica / outros de crédito existente;própria;ruim
94;>=200;crítica / outros de crédito existente;alugada;bom
95;0<=X<200;existente e pago;própria;bom
96;0<=X<200;sem créditos/todos pagos;alugada;ruim
97;sem cheque;crítica / outros de crédito existente;própria;bom
98;0<=X<200;existente e pago;própria;bom
99;0<=X<200;crítica / outros de crédito existente;própria;bom
100;0<=X<200;atrasos anteriores;alugada;bom
101;sem cheque;existente e pago;alugada;bom
102;0<=X<200;existente e pago;alugada;bom
103;sem cheque;atrasos anteriores;própria;bom
104;0<=X<200;crítica / outros de crédito existente;alugada;bom
105;sem cheque;existente e pago;alugada;bom
106;0<=X<200;crítica / outros de crédito existente;própria;ruim
107;sem cheque;todos pagos;própria;ruim
108;0<=X<200;existente e pago;própria;bom
109;<0;existente e pago;própria;bom
110;0<=X<200;existente e pago;própria;bom
111;0<=X<200;atrasos anteriores;própria;bom
112;>=200;existente e pago;alugada;bom
113;0<=X<200;existente e pago;alugada;bom
114;sem cheque;crítica / outros de crédito existente;própria;ruim
115;<0;existente e pago;própria;bom
116;sem cheque;crítica / outros de crédito existente;própria;bom
117;<0;existente e pago;própria;ruim
118;<0;crítica / outros de crédito existente;alugada;bom
119;<0;crítica / outros de crédito existente;própria;ruim
120;0<=X<200;crítica / outros de crédito existente;própria;bom
121;<0;existente e pago;própria;ruim
122;sem cheque;crítica / outros de crédito existente;alugada;bom
123;sem cheque;existente e pago;alugada;bom
124;>=200;crítica / outros de crédito existente;gratuitamente;bom
125;0<=X<200;existente e pago;alugada;ruim
126;<0;crítica / outros de crédito existente;própria;bom
127;<0;existente e pago;própria;bom
128;0<=X<200;existente e pago;própria;ruim
129;0<=X<200;crítica / outros de crédito existente;própria;bom
130;<0;crítica / outros de crédito existente;própria;ruim
131;0<=X<200;existente e pago;própria;bom
132;<0;atrasos anteriores;própria;ruim
133;sem cheque;existente e pago;própria;bom
134;sem cheque;existente e pago;gratuitamente;bom
135;sem cheque;existente e pago;própria;bom
136;sem cheque;crítica / outros de crédito existente;própria;bom
137;sem cheque;atrasos anteriores;própria;bom
138;0<=X<200;existente e pago;própria;ruim
139;0<=X<200;crítica / outros de crédito existente;própria;bom
140;>=200;existente e pago;alugada;bom
141;>=200;existente e pago;própria;bom
142;0<=X<200;existente e pago;própria;bom
143;<0;existente e pago;própria;bom
144;<0;existente e pago;própria;ruim
145;sem cheque;crítica / outros de crédito existente;própria;bom
146;0<=X<200;todos pagos;própria;bom
147;<0;crítica / outros de crédito existente;própria;bom
148;sem cheque;crítica / outros de crédito existente;própria;bom
149;<0;crítica / outros de crédito existente;própria;bom
150;sem cheque;crítica / outros de crédito existente;própria;bom
151;sem cheque;existente e pago;gratuitamente;bom
152;sem cheque;existente e pago;própria;bom
153;>=200;existente e pago;própria;bom
154;0<=X<200;crítica / outros de crédito existente;alugada;bom
155;0<=X<200;atrasos anteriores;alugada;bom
156;<0;existente e pago;alugada;ruim
157;<0;crítica / outros de crédito existente;própria;bom
158;<0;todos pagos;própria;bom
159;0<=X<200;existente e pago;própria;bom
160;sem cheque;crítica / outros de crédito existente;própria;bom
161;sem cheque;crítica / outros de crédito existente;própria;bom
162;sem cheque;crítica / outros de crédito existente;própria;bom
163;sem cheque;existente e pago;própria;bom
164;0<=X<200;existente e pago;gratuitamente;bom
165;sem cheque;existente e pago;própria;bom
166;sem cheque;existente e pago;própria;bom
167;<0;existente e pago;própria;ruim
168;0<=X<200;existente e pago;própria;bom
169;sem cheque;existente e pago;alugada;bom
170;0<=X<200;crítica / outros de crédito existente;própria;ruim
171;<0;sem créditos/todos pagos;alugada;ruim
172;sem cheque;existente e pago;própria;bom
173;0<=X<200;atrasos anteriores;própria;ruim
174;0<=X<200;existente e pago;própria;bom
175;<0;atrasos anteriores;própria;ruim
176;sem cheque;todos pagos;própria;ruim
177;<0;existente e pago;própria;bom
178;<0;crítica / outros de crédito existente;própria;bom
179;sem cheque;existente e pago;alugada;bom
180;<0;crítica / outros de crédito existente;própria;bom
181;sem cheque;atrasos anteriores;própria;ruim
182;0<=X<200;atrasos anteriores;própria;ruim
183;<0;todos pagos;própria;ruim
184;sem cheque;crítica / outros de crédito existente;própria;bom
185;0<=X<200;crítica / outros de crédito existente;própria;ruim
186;sem cheque;crítica / outros de crédito existente;própria;bom
187;0<=X<200;todos pagos;gratuitamente;ruim
188;0<=X<200;crítica / outros de crédito existente;gratuitamente;bom
189;<0;existente e pago;própria;ruim
190;0<=X<200;sem créditos/todos pagos;própria;bom
191;sem cheque;existente e pago;própria;ruim
192;0<=X<200;sem créditos/todos pagos;gratuitamente;ruim
193;0<=X<200;existente e pago;própria;ruim
194;sem cheque;existente e pago;alugada;bom
195;0<=X<200;existente e pago;alugada;ruim
196;0<=X<200;crítica / outros de crédito existente;própria;ruim
197;sem cheque;crítica / outros de crédito existente;própria;bom
198;0<=X<200;existente e pago;alugada;ruim
199;0<=X<200;existente e pago;gratuitamente;bom
200;0<=X<200;atrasos anteriores;própria;ruim
201;sem cheque;crítica / outros de crédito existente;própria;bom
202;<0;existente e pago;própria;bom
203;sem cheque;atrasos anteriores;própria;bom
204;<0;existente e pago;alugada;ruim
205;sem cheque;crítica / outros de crédito existente;própria;bom
206;<0;crítica / outros de crédito existente;gratuitamente;bom
207;sem cheque;crítica / outros de crédito existente;própria;bom
208;0<=X<200;crítica / outros de crédito existente;própria;bom
209;<0;existente e pago;própria;bom
210;sem cheque;existente e pago;própria;bom
211;sem cheque;crítica / outros de crédito existente;própria;bom
212;sem cheque;existente e pago;própria;bom
213;<0;sem créditos/todos pagos;própria;ruim
214;>=200;atrasos anteriores;própria;ruim
215;sem cheque;crítica / outros de crédito existente;própria;bom
216;0<=X<200;crítica / outros de crédito existente;própria;bom
217;<0;sem créditos/todos pagos;própria;bom
218;>=200;existente e pago;própria;bom
219;<0;existente e pago;alugada;bom
220;sem cheque;existente e pago;própria;bom
221;0<=X<200;existente e pago;própria;bom
222;<0;existente e pago;alugada;bom
223;sem cheque;existente e pago;própria;bom
224;sem cheque;atrasos anteriores;própria;bom
225;sem cheque;existente e pago;própria;bom
226;sem cheque;sem créditos/todos pagos;própria;bom
227;0<=X<200;existente e pago;própria;ruim
228;<0;existente e pago;gratuitamente;ruim
229;sem cheque;existente e pago;própria;ruim
230;<0;existente e pago;gratuitamente;bom
231;>=200;existente e pago;própria;ruim
232;sem cheque;existente e pago;gratuitamente;bom
233;sem cheque;existente e pago;própria;bom
234;0<=X<200;existente e pago;própria;bom
235;sem cheque;crítica / outros de crédito existente;própria;bom
236;<0;existente e pago;própria;ruim
237;0<=X<200;existente e pago;própria;ruim
238;0<=X<200;existente e pago;alugada;ruim
239;sem cheque;crítica / outros de crédito existente;própria;bom
240;<0;existente e pago;própria;bom
241;<0;existente e pago;própria;ruim
242;sem cheque;existente e pago;própria;bom
243;<0;sem créditos/todos pagos;gratuitamente;ruim
244;sem cheque;crítica / outros de crédito existente;própria;bom
245;sem cheque;todos pagos;própria;bom
246;sem cheque;existente e pago;própria;bom
247;sem cheque;crítica / outros de crédito existente;própria;bom
248;sem cheque;sem créditos/todos pagos;alugada;bom
249;>=200;existente e pago;própria;bom
250;sem cheque;existente e pago;alugada;ruim
251;<0;crítica / outros de crédito existente;própria;bom
252;>=200;existente e pago;própria;bom
253;0<=X<200;existente e pago;própria;ruim
254;sem cheque;atrasos anteriores;própria;bom
255;0<=X<200;existente e pago;própria;bom
256;0<=X<200;atrasos anteriores;própria;bom
257;sem cheque;crítica / outros de crédito existente;própria;bom
258;<0;todos pagos;gratuitamente;ruim
259;sem cheque;existente e pago;própria;bom
260;sem cheque;crítica / outros de crédito existente;própria;bom
261;<0;existente e pago;própria;bom
262;<0;existente e pago;própria;bom
263;<0;crítica / outros de crédito existente;gratuitamente;bom
264;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
265;sem cheque;crítica / outros de crédito existente;própria;bom
266;0<=X<200;existente e pago;própria;ruim
267;sem cheque;crítica / outros de crédito existente;própria;bom
268;sem cheque;existente e pago;própria;bom
269;<0;existente e pago;própria;ruim
270;sem cheque;existente e pago;própria;bom
271;sem cheque;existente e pago;própria;bom
272;sem cheque;crítica / outros de crédito existente;alugada;bom
273;0<=X<200;todos pagos;gratuitamente;bom
274;0<=X<200;existente e pago;própria;ruim
275;<0;existente e pago;própria;ruim
276;sem cheque;existente e pago;própria;bom
277;sem cheque;crítica / outros de crédito existente;própria;bom
278;<0;existente e pago;própria;bom
279;sem cheque;existente e pago;própria;ruim
280;sem cheque;existente e pago;alugada;bom
281;sem cheque;crítica / outros de crédito existente;alugada;bom
282;sem cheque;existente e pago;própria;bom
283;>=200;todos pagos;própria;bom
284;sem cheque;crítica / outros de crédito existente;própria;bom
285;0<=X<200;crítica / outros de crédito existente;própria;bom
286;<0;existente e pago;própria;bom
287;<0;existente e pago;própria;bom
288;0<=X<200;atrasos anteriores;gratuitamente;bom
289;0<=X<200;existente e pago;própria;bom
290;<0;atrasos anteriores;própria;ruim
291;sem cheque;existente e pago;própria;bom
292;0<=X<200;existente e pago;alugada;ruim
293;<0;crítica / outros de crédito existente;gratuitamente;bom
294;>=200;crítica / outros de crédito existente;gratuitamente;bom
295;sem cheque;crítica / outros de crédito existente;própria;bom
296;0<=X<200;existente e pago;própria;ruim
297;sem cheque;existente e pago;alugada;bom
298;sem cheque;existente e pago;própria;bom
299;sem cheque;existente e pago;própria;bom
300;0<=X<200;crítica / outros de crédito existente;própria;bom
301;sem cheque;existente e pago;própria;bom
302;0<=X<200;sem créditos/todos pagos;própria;ruim
303;>=200;crítica / outros de crédito existente;própria;ruim
304;<0;crítica / outros de crédito existente;própria;bom
305;sem cheque;crítica / outros de crédito existente;gratuitamente;ruim
306;sem cheque;existente e pago;própria;bom
307;sem cheque;existente e pago;alugada;bom
308;<0;existente e pago;própria;ruim
309;0<=X<200;existente e pago;própria;ruim
310;0<=X<200;existente e pago;alugada;bom
311;0<=X<200;existente e pago;gratuitamente;bom
312;sem cheque;existente e pago;própria;bom
313;>=200;existente e pago;própria;bom
314;0<=X<200;existente e pago;própria;ruim
315;>=200;existente e pago;própria;bom
316;<0;todos pagos;própria;ruim
317;<0;existente e pago;própria;bom
318;0<=X<200;existente e pago;própria;bom
319;sem cheque;crítica / outros de crédito existente;própria;bom
320;<0;atrasos anteriores;própria;bom
321;0<=X<200;crítica / outros de crédito existente;própria;ruim
322;<0;existente e pago;própria;ruim
323;<0;existente e pago;gratuitamente;bom
324;<0;existente e pago;própria;bom
325;sem cheque;crítica / outros de crédito existente;própria;bom
326;<0;crítica / outros de crédito existente;própria;bom
327;sem cheque;crítica / outros de crédito existente;alugada;bom
328;sem cheque;existente e pago;própria;bom
329;>=200;existente e pago;própria;bom
330;0<=X<200;existente e pago;própria;bom
331;<0;crítica / outros de crédito existente;gratuitamente;bom
332;sem cheque;crítica / outros de crédito existente;própria;ruim
333;0<=X<200;existente e pago;própria;ruim
334;sem cheque;crítica / outros de crédito existente;alugada;ruim
335;<0;sem créditos/todos pagos;alugada;ruim
336;<0;crítica / outros de crédito existente;alugada;ruim
337;0<=X<200;existente e pago;própria;bom
338;<0;existente e pago;alugada;ruim
339;<0;existente e pago;própria;bom
340;0<=X<200;existente e pago;própria;bom
341;0<=X<200;crítica / outros de crédito existente;gratuitamente;bom
342;<0;existente e pago;alugada;bom
343;0<=X<200;existente e pago;alugada;bom
344;0<=X<200;existente e pago;própria;bom
345;>=200;existente e pago;própria;bom
346;sem cheque;crítica / outros de crédito existente;própria;bom
347;0<=X<200;crítica / outros de crédito existente;própria;bom
348;0<=X<200;existente e pago;alugada;bom
349;sem cheque;atrasos anteriores;própria;bom
350;0<=X<200;crítica / outros de crédito existente;gratuitamente;ruim
351;sem cheque;existente e pago;alugada;bom
352;0<=X<200;existente e pago;própria;ruim
353;sem cheque;crítica / outros de crédito existente;própria;bom
354;<0;sem créditos/todos pagos;alugada;ruim
355;sem cheque;existente e pago;gratuitamente;bom
356;0<=X<200;existente e pago;própria;ruim
357;sem cheque;crítica / outros de crédito existente;própria;bom
358;sem cheque;atrasos anteriores;própria;ruim
359;sem cheque;existente e pago;própria;bom
360;<0;existente e pago;alugada;ruim
361;0<=X<200;existente e pago;gratuitamente;bom
362;>=200;existente e pago;própria;bom
363;>=200;atrasos anteriores;própria;bom
364;sem cheque;existente e pago;alugada;bom
365;<0;existente e pago;própria;ruim
366;sem cheque;existente e pago;própria;bom
367;sem cheque;crítica / outros de crédito existente;própria;bom
368;<0;existente e pago;alugada;bom
369;<0;existente e pago;própria;ruim
370;0<=X<200;existente e pago;alugada;bom
371;sem cheque;existente e pago;própria;bom
372;sem cheque;crítica / outros de crédito existente;própria;bom
373;sem cheque;crítica / outros de crédito existente;alugada;bom
374;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
375;0<=X<200;todos pagos;gratuitamente;ruim
376;<0;todos pagos;alugada;ruim
377;sem cheque;atrasos anteriores;própria;bom
378;sem cheque;atrasos anteriores;gratuitamente;bom
379;0<=X<200;existente e pago;gratuitamente;ruim
380;sem cheque;crítica / outros de crédito existente;própria;bom
381;<0;existente e pago;própria;bom
382;0<=X<200;existente e pago;gratuitamente;ruim
383;sem cheque;existente e pago;alugada;bom
384;>=200;existente e pago;própria;bom
385;sem cheque;atrasos anteriores;própria;bom
386;sem cheque;crítica / outros de crédito existente;própria;bom
387;sem cheque;existente e pago;alugada;bom
388;0<=X<200;crítica / outros de crédito existente;própria;bom
389;0<=X<200;crítica / outros de crédito existente;própria;bom
390;sem cheque;existente e pago;própria;bom
391;sem cheque;existente e pago;própria;bom
392;0<=X<200;existente e pago;alugada;bom
393;<0;existente e pago;gratuitamente;bom
394;<0;crítica / outros de crédito existente;própria;bom
395;sem cheque;crítica / outros de crédito existente;própria;bom
396;0<=X<200;atrasos anteriores;alugada;bom
397;<0;existente e pago;gratuitamente;bom
398;<0;crítica / outros de crédito existente;própria;bom
399;0<=X<200;existente e pago;alugada;ruim
400;sem cheque;crítica / outros de crédito existente;própria;bom
401;sem cheque;existente e pago;própria;bom
402;0<=X<200;crítica / outros de crédito existente;própria;bom
403;sem cheque;atrasos anteriores;própria;ruim
404;sem cheque;atrasos anteriores;própria;bom
405;0<=X<200;atrasos anteriores;própria;bom
406;0<=X<200;existente e pago;própria;ruim
407;sem cheque;crítica / outros de crédito existente;própria;bom
408;<0;existente e pago;própria;bom
409;sem cheque;existente e pago;própria;bom
410;>=200;crítica / outros de crédito existente;própria;ruim
411;0<=X<200;existente e pago;própria;bom
412;sem cheque;crítica / outros de crédito existente;própria;bom
413;sem cheque;crítica / outros de crédito existente;própria;ruim
414;sem cheque;existente e pago;alugada;bom
415;<0;existente e pago;própria;ruim
416;sem cheque;crítica / outros de crédito existente;própria;bom
417;<0;existente e pago;própria;ruim
418;<0;atrasos anteriores;alugada;bom
419;sem cheque;existente e pago;própria;bom
420;0<=X<200;existente e pago;própria;ruim
421;sem cheque;existente e pago;alugada;bom
422;0<=X<200;existente e pago;própria;bom
423;0<=X<200;crítica / outros de crédito existente;própria;bom
424;sem cheque;atrasos anteriores;própria;bom
425;0<=X<200;existente e pago;própria;ruim
426;0<=X<200;existente e pago;alugada;bom
427;sem cheque;crítica / outros de crédito existente;própria;bom
428;sem cheque;crítica / outros de crédito existente;própria;bom
429;sem cheque;existente e pago;própria;bom
430;<0;crítica / outros de crédito existente;gratuitamente;ruim
431;sem cheque;existente e pago;própria;bom
432;0<=X<200;existente e pago;própria;ruim
433;<0;crítica / outros de crédito existente;gratuitamente;bom
434;sem cheque;crítica / outros de crédito existente;própria;bom
435;<0;existente e pago;própria;bom
436;0<=X<200;existente e pago;própria;ruim
437;sem cheque;existente e pago;alugada;bom
438;sem cheque;crítica / outros de crédito existente;própria;bom
439;<0;crítica / outros de crédito existente;própria;bom
440;>=200;todos pagos;própria;ruim
441;sem cheque;existente e pago;própria;bom
442;<0;existente e pago;própria;bom
443;0<=X<200;atrasos anteriores;própria;bom
444;sem cheque;existente e pago;própria;ruim
445;0<=X<200;crítica / outros de crédito existente;própria;ruim
446;sem cheque;crítica / outros de crédito existente;alugada;bom
447;<0;existente e pago;própria;ruim
448;0<=X<200;existente e pago;própria;bom
449;>=200;existente e pago;própria;bom
450;0<=X<200;atrasos anteriores;própria;ruim
451;sem cheque;crítica / outros de crédito existente;própria;bom
452;sem cheque;existente e pago;própria;bom
453;sem cheque;sem créditos/todos pagos;própria;bom
454;sem cheque;existente e pago;própria;bom
455;<0;existente e pago;própria;ruim
456;sem cheque;existente e pago;própria;bom
457;<0;crítica / outros de crédito existente;alugada;bom
458;<0;existente e pago;gratuitamente;ruim
459;<0;existente e pago;própria;bom
460;sem cheque;existente e pago;própria;bom
461;<0;existente e pago;própria;bom
462;<0;existente e pago;própria;bom
463;0<=X<200;existente e pago;alugada;bom
464;0<=X<200;existente e pago;própria;bom
465;sem cheque;existente e pago;própria;bom
466;<0;existente e pago;própria;bom
467;<0;atrasos anteriores;alugada;ruim
468;sem cheque;atrasos anteriores;própria;bom
469;sem cheque;atrasos anteriores;própria;bom
470;sem cheque;atrasos anteriores;própria;bom
471;0<=X<200;existente e pago;alugada;ruim
472;<0;existente e pago;própria;ruim
473;<0;existente e pago;própria;ruim
474;sem cheque;existente e pago;própria;bom
475;0<=X<200;crítica / outros de crédito existente;própria;ruim
476;<0;sem créditos/todos pagos;alugada;ruim
477;sem cheque;existente e pago;própria;bom
478;>=200;existente e pago;própria;bom
479;0<=X<200;existente e pago;própria;bom
480;<0;crítica / outros de crédito existente;própria;bom
481;0<=X<200;crítica / outros de crédito existente;própria;bom
482;0<=X<200;existente e pago;própria;bom
483;<0;existente e pago;alugada;bom
484;sem cheque;atrasos anteriores;própria;bom
485;sem cheque;crítica / outros de crédito existente;própria;bom
486;0<=X<200;atrasos anteriores;própria;ruim
487;sem cheque;existente e pago;própria;bom
488;sem cheque;existente e pago;gratuitamente;bom
489;sem cheque;existente e pago;alugada;bom
490;sem cheque;existente e pago;alugada;bom
491;sem cheque;crítica / outros de crédito existente;própria;bom
492;0<=X<200;sem créditos/todos pagos;gratuitamente;ruim
493;sem cheque;crítica / outros de crédito existente;própria;bom
494;0<=X<200;existente e pago;própria;bom
495;<0;crítica / outros de crédito existente;alugada;bom
496;<0;existente e pago;própria;ruim
497;0<=X<200;existente e pago;alugada;ruim
498;sem cheque;crítica / outros de crédito existente;própria;bom
499;0<=X<200;existente e pago;própria;bom
500;>=200;crítica / outros de crédito existente;própria;bom
501;<0;existente e pago;própria;ruim
502;<0;existente e pago;gratuitamente;bom
503;>=200;existente e pago;própria;bom
504;0<=X<200;crítica / outros de crédito existente;própria;ruim
505;<0;existente e pago;alugada;ruim
506;sem cheque;existente e pago;própria;ruim
507;>=200;crítica / outros de crédito existente;própria;bom
508;0<=X<200;todos pagos;própria;ruim
509;sem cheque;existente e pago;própria;bom
510;sem cheque;existente e pago;própria;bom
511;<0;existente e pago;própria;ruim
512;sem cheque;existente e pago;gratuitamente;bom
513;>=200;existente e pago;alugada;bom
514;0<=X<200;atrasos anteriores;alugada;bom
515;sem cheque;existente e pago;própria;bom
516;<0;crítica / outros de crédito existente;própria;bom
517;<0;crítica / outros de crédito existente;própria;bom
518;sem cheque;crítica / outros de crédito existente;alugada;ruim
519;<0;existente e pago;própria;bom
520;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
521;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
522;<0;existente e pago;própria;ruim
523;<0;sem créditos/todos pagos;gratuitamente;ruim
524;sem cheque;existente e pago;própria;bom
525;0<=X<200;existente e pago;própria;bom
526;0<=X<200;existente e pago;própria;bom
527;sem cheque;crítica / outros de crédito existente;própria;bom
528;sem cheque;crítica / outros de crédito existente;própria;bom
529;<0;existente e pago;alugada;ruim
530;<0;existente e pago;própria;bom
531;0<=X<200;existente e pago;própria;bom
532;0<=X<200;existente e pago;alugada;ruim
533;sem cheque;atrasos anteriores;alugada;bom
534;sem cheque;existente e pago;própria;bom
535;sem cheque;existente e pago;própria;bom
536;>=200;crítica / outros de crédito existente;alugada;ruim
537;<0;existente e pago;própria;bom
538;0<=X<200;crítica / outros de crédito existente;própria;bom
539;<0;existente e pago;gratuitamente;ruim
540;>=200;existente e pago;própria;bom
541;0<=X<200;existente e pago;alugada;ruim
542;sem cheque;atrasos anteriores;gratuitamente;bom
543;<0;existente e pago;própria;ruim
544;>=200;existente e pago;própria;ruim
545;sem cheque;crítica / outros de crédito existente;própria;bom
546;<0;atrasos anteriores;gratuitamente;ruim
547;sem cheque;crítica / outros de crédito existente;própria;bom
548;sem cheque;existente e pago;própria;bom
549;<0;todos pagos;própria;ruim
550;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
551;sem cheque;crítica / outros de crédito existente;própria;bom
552;sem cheque;todos pagos;própria;bom
553;<0;existente e pago;própria;ruim
554;0<=X<200;crítica / outros de crédito existente;própria;bom
555;0<=X<200;existente e pago;própria;bom
556;0<=X<200;existente e pago;própria;ruim
557;0<=X<200;sem créditos/todos pagos;própria;ruim
558;sem cheque;sem créditos/todos pagos;própria;ruim
559;<0;todos pagos;própria;ruim
560;0<=X<200;crítica / outros de crédito existente;própria;ruim
561;<0;existente e pago;gratuitamente;bom
562;<0;todos pagos;alugada;ruim
563;>=200;atrasos anteriores;própria;bom
564;0<=X<200;existente e pago;gratuitamente;ruim
565;0<=X<200;atrasos anteriores;própria;bom
566;0<=X<200;atrasos anteriores;alugada;bom
567;<0;existente e pago;própria;ruim
568;sem cheque;crítica / outros de crédito existente;própria;bom
569;0<=X<200;existente e pago;própria;bom
570;<0;existente e pago;própria;ruim
571;<0;existente e pago;alugada;ruim
572;sem cheque;crítica / outros de crédito existente;própria;bom
573;sem cheque;existente e pago;alugada;bom
574;<0;existente e pago;própria;bom
575;0<=X<200;existente e pago;própria;bom
576;sem cheque;crítica / outros de crédito existente;própria;bom
577;0<=X<200;existente e pago;própria;bom
578;sem cheque;crítica / outros de crédito existente;própria;bom
579;0<=X<200;crítica / outros de crédito existente;própria;ruim
580;sem cheque;existente e pago;própria;bom
581;0<=X<200;crítica / outros de crédito existente;própria;ruim
582;0<=X<200;crítica / outros de crédito existente;própria;bom
583;sem cheque;existente e pago;alugada;bom
584;0<=X<200;existente e pago;alugada;ruim
585;sem cheque;existente e pago;gratuitamente;bom
586;<0;existente e pago;alugada;ruim
587;<0;crítica / outros de crédito existente;alugada;bom
588;<0;existente e pago;própria;bom
589;<0;existente e pago;própria;ruim
590;<0;crítica / outros de crédito existente;própria;ruim
591;<0;crítica / outros de crédito existente;própria;bom
592;0<=X<200;atrasos anteriores;alugada;bom
593;sem cheque;existente e pago;própria;bom
594;0<=X<200;existente e pago;alugada;ruim
595;<0;todos pagos;própria;ruim
596;0<=X<200;todos pagos;própria;ruim
597;<0;existente e pago;alugada;ruim
598;0<=X<200;sem créditos/todos pagos;própria;ruim
599;sem cheque;crítica / outros de crédito existente;própria;ruim
600;sem cheque;atrasos anteriores;gratuitamente;bom
601;0<=X<200;existente e pago;própria;bom
602;0<=X<200;existente e pago;própria;ruim
603;0<=X<200;todos pagos;gratuitamente;ruim
604;sem cheque;existente e pago;própria;ruim
605;>=200;existente e pago;própria;bom
606;<0;todos pagos;própria;bom
607;sem cheque;crítica / outros de crédito existente;própria;bom
608;0<=X<200;existente e pago;gratuitamente;ruim
609;sem cheque;existente e pago;própria;bom
